SKU Muestra,Type,Life,Category,Safety factor,Forecast error M,Lead time (m),RLT error (%),Safety stock (days)
SKU195,HARMONIZED,50,Nail Makeup,2.33,0.53,0.97,0.33,23.26
SKU196,HARMONIZED,50,Nail Makeup,1.88,0.36,0.97,0.33,18.81
SKU197,HARMONIZED,50,Nail Makeup,2.33,0.31,0.97,0.33,23.26
SKU198,HARMONIZED,50,Nail Makeup,2.33,0.54,0.97,0.33,23.26
SKU199,HARMONIZED,50,Nail Makeup,2.33,0.68,0.97,0.33,23.26
SKU200,HARMONIZED,50,Nail Makeup,2.33,0.26,0.97,0.33,23.26
SKU201,HARMONIZED,50,Nail Makeup,1.88,0.4,0.97,0.33,18.81
SKU202,HARMONIZED,50,Nail Makeup,1.88,0.25,0.97,0.33,18.81
SKU203,HARMONIZED,50,Nail Makeup,2.33,0.23,0.97,0.33,23.26
SKU204,HARMONIZED,50,Nail Makeup,2.33,0.43,0.97,0.33,23.26
SKU205,HARMONIZED,50,Nail Makeup,1.88,0.37,0.97,0.33,18.81
SKU206,HARMONIZED,50,Nail Makeup,2.33,0.33,0.97,0.33,23.26
SKU207,HARMONIZED,50,Nail Makeup,2.33,0.56,0.97,0.33,23.26
SKU208,HARMONIZED,50,Nail Makeup,1.88,0.34,0.97,0.33,18.81
SKU209,HARMONIZED,50,Nail Makeup,2.33,0.29,0.97,0.33,23.26
SKU210,HARMONIZED,50,Nail Makeup,1.88,0.51,0.97,0.33,18.81
SKU211,HARMONIZED,50,Nail Makeup,2.33,0.49,0.97,0.33,23.26
SKU212,HARMONIZED,50,Nail Makeup,2.33,0.43,0.97,0.33,23.26
SKU213,HARMONIZED,50,Lip Makeup,1.88,0.71,1.1,0.2,11.28
SKU214,HARMONIZED,50,Lip Makeup,1.88,0.47,1.1,0.2,11.28
SKU215,HARMONIZED,50,Lip Makeup,1.48,3.19,3.37,0.3,13.28
SKU216,HARMONIZED,50,Lip Makeup,2.33,0.74,1.1,0.2,13.96
SKU217,HARMONIZED,50,Lip Makeup,2.33,0.47,1.1,0.2,13.96
SKU218,HARMONIZED,50,Lip Makeup,1.88,0.4,1.1,0.2,11.28
SKU219,HARMONIZED,50,Lip Makeup,1.88,0.38,1.1,0.2,11.28
SKU220,HARMONIZED,50,Lip Makeup,2.33,0.41,1.1,0.2,13.96
SKU221,HARMONIZED,50,Lip Makeup,2.33,0.36,1.1,0.2,13.96
SKU222,HARMONIZED,50,Nail Makeup,2.33,1.1,0.97,0.3,20.94
SKU223,HARMONIZED,50,Nail Makeup,1.88,1.2,0.97,0.3,16.93
SKU224,HARMONIZED,50,Nail Makeup,2.33,1.18,0.97,0.3,20.94
SKU225,HARMONIZED,50,Nail Makeup,1.88,1.41,0.97,0.3,16.93
SKU226,HARMONIZED,50,Nail Makeup,2.33,1.65,0.97,0.3,20.94
SKU227,HARMONIZED,50,Nail Makeup,1.88,1.23,0.97,0.3,16.93
SKU228,HARMONIZED,50,Nail Makeup,2.33,1.73,0.97,0.3,20.94
SKU229,HARMONIZED,50,Nail Makeup,2.33,1.45,0.97,0.3,20.94
SKU230,HARMONIZED,50,Nail Makeup,2.33,1.32,0.97,0.3,20.94
SKU231,HARMONIZED,50,Nail Makeup,2.33,0.84,0.97,0.3,20.94
SKU232,HARMONIZED,50,Nail Makeup,1.48,1.81,0.97,0.3,13.28
SKU233,HARMONIZED,50,Nail Makeup,1.88,1.6,0.97,0.3,16.93
SKU234,HARMONIZED,50,Nail Makeup,2.33,0.4,1.03,0.3,20.94
SKU235,HARMONIZED,50,Nail Makeup,2.33,1.67,0.97,0.3,20.94
SKU236,HARMONIZED,50,Nail Makeup,2.33,1.38,0.97,0.3,20.94
SKU237,HARMONIZED,50,Eye Makeup,1.48,1.69,1.1,0.23,10.33
SKU238,HARMONIZED,50,Nail Makeup,1.48,1.52,0.97,0.33,14.76
SKU239,HARMONIZED,50,Nail Makeup,2.33,1.25,0.97,0.33,23.26
