SKU Muestra,Type,Life,Category,Safety factor,Forecast error M,Lead time (m),RLT error (%),Safety stock (days)
SKU433,HARMONIZED,50,Nail Makeup,1.48,0.21,1.03,0.33,14.76
SKU434,HARMONIZED,50,Nail Makeup,1.88,0.16,1.03,0.33,18.81
SKU435,HARMONIZED,50,Nail Makeup,1.88,0.44,1.03,0.33,18.81
SKU436,HARMONIZED,50,Nail Makeup,1.48,0.26,1.03,0.33,14.76
SKU437,HARMONIZED,50,Nail Makeup,1.88,0.28,1.03,0.33,18.81
SKU438,HARMONIZED,50,Nail Makeup,1.88,0.13,1.03,0.33,18.81
SKU439,HARMONIZED,50,Nail Makeup,1.88,0.28,1.03,0.33,18.81
SKU440,HARMONIZED,50,Nail Makeup,1.88,0.37,1.03,0.33,18.81
SKU441,HARMONIZED,50,Nail Makeup,1.88,0.21,1.03,0.33,18.81
SKU442,HARMONIZED,50,Nail Makeup,1.88,0.53,1.03,0.33,18.81
SKU443,HARMONIZED,50,Nail Makeup,1.88,0.14,1.03,0.33,18.81
SKU444,HARMONIZED,50,Nail Makeup,1.88,0.42,1.03,0.33,18.81
SKU445,HARMONIZED,50,Nail Makeup,1.88,0.32,1.03,0.33,18.81
SKU446,HARMONIZED,50,Nail Makeup,1.88,0.45,1.03,0.33,18.81
SKU447,HARMONIZED,50,Nail Makeup,1.88,0.66,1.03,0.33,18.81
SKU448,HARMONIZED,50,Eye Makeup,2.33,0.28,1.1,0.23,16.28
SKU449,HARMONIZED,50,Eye Makeup,2.33,0.35,1.1,0.23,16.28
SKU450,HARMONIZED,50,Nail Makeup,2.33,0.4,1.03,0.3,20.94
SKU451,HARMONIZED,50,Nail Makeup,2.33,0.26,1.03,0.3,20.94
SKU452,HARMONIZED,50,Nail Makeup,2.33,0.24,1.03,0.3,20.94
SKU453,HARMONIZED,50,Nail Makeup,2.33,0.68,1.03,0.3,20.94
SKU454,HARMONIZED,50,Nail Makeup,2.33,0.22,1.03,0.3,20.94
SKU455,HARMONIZED,50,Nail Makeup,2.33,0,1.03,0.3,20.94
SKU456,HARMONIZED,50,Nail Makeup,2.33,0.26,1.03,0.3,20.94
SKU457,HARMONIZED,50,Nail Makeup,2.33,0.04,1.03,0.3,20.94
SKU458,HARMONIZED,50,Nail Makeup,2.33,0.22,1.03,0.3,20.94
SKU459,HARMONIZED,50,Nail Makeup,2.33,0,1.03,0.3,20.94
SKU460,HARMONIZED,50,Nail Makeup,2.33,0.28,1.03,0.3,20.94
SKU461,HARMONIZED,50,Nail Makeup,2.33,0.26,1.03,0.3,20.94
